"filename", "language", "TypeScript JSX", "TypeScript", "SCSS", "JavaScript", "comment", "blank", "total"
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Test\TestMarkdownDisplay.tsx", "TypeScript JSX", 27, 0, 0, 0, 2, 6, 35
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Test\TestView.scss", "SCSS", 0, 0, 13, 0, 0, 4, 17
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Test\TestView.tsx", "TypeScript JSX", 50, 0, 0, 0, 2, 10, 62
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\UserInput\UserInput.scss", "SCSS", 0, 0, 90, 0, 0, 15, 105
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\UserInput\UserInput.tsx", "TypeScript JSX", 100, 0, 0, 0, 2, 11, 113
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\components\BaseChatInterface.tsx", "TypeScript JSX", 243, 0, 0, 0, 1, 18, 262
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\components\BaseMarkdownDisplay.tsx", "TypeScript JSX", 95, 0, 0, 0, 0, 9, 104
"d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\page.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 7, 48
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\backend.tsx", "TypeScript JSX", 97, 0, 0, 0, 0, 12, 109
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\cms.tsx", "TypeScript JSX", 82, 0, 0, 0, 0, 10, 92
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\BaseChatInterface.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 4, 32
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\ChatHeader.tsx", "TypeScript JSX", 89, 0, 0, 0, 0, 8, 97
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\ChatInterface.tsx", "TypeScript JSX", 147, 0, 0, 0, 4, 10, 161
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\ClearChatButton.tsx", "TypeScript JSX", 47, 0, 0, 0, 0, 3, 50
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\CodeDisplay.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 3, 28
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\FrameworkSelector.tsx", "TypeScript JSX", 141, 0, 0, 0, 0, 6, 147
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\ImageUploader.tsx", "TypeScript JSX", 93, 0, 0, 0, 2, 11, 106
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\MarkdownEditor.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 3, 24
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\SaveProjectDialog.tsx", "TypeScript JSX", 186, 0, 0, 0, 6, 18, 210
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\SharedFirstColumn.tsx", "TypeScript JSX", 40, 0, 0, 0, 2, 5, 47
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\constants\prompts.ts", "TypeScript", 0, 374, 0, 0, 2, 93, 469
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\contexts\SharedContext.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 6, 41
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\frontend.tsx", "TypeScript JSX", 99, 0, 0, 0, 0, 11, 110
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\hooks\useChatMessages.ts", "TypeScript", 0, 127, 0, 0, 0, 13, 140
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\hooks\useCodeParser.ts", "TypeScript", 0, 32, 0, 0, 2, 10, 44
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\hooks\useRequirementParser.ts", "TypeScript", 0, 16, 0, 0, 2, 4, 22
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\page.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 6, 56
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\requirement.tsx", "TypeScript JSX", 53, 0, 0, 0, 1, 5, 59
"d:\Codes\unex-ai\ai-chat-to-code\app\chats\test.tsx", "TypeScript JSX", 97, 0, 0, 0, 0, 12, 109
"d:\Codes\unex-ai\ai-chat-to-code\app\components\AppLayout\AppLayout.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 5, 24
"d:\Codes\unex-ai\ai-chat-to-code\app\components\Footer\Footer.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 3, 16
"d:\Codes\unex-ai\ai-chat-to-code\app\components\Header\headernew.tsx", "TypeScript JSX", 124, 0, 0, 0, 1, 6, 131
"d:\Codes\unex-ai\ai-chat-to-code\app\components\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 1
"d:\Codes\unex-ai\ai-chat-to-code\app\config\prompts.ts", "TypeScript", 0, 21, 0, 0, 0, 5, 26
"d:\Codes\unex-ai\ai-chat-to-code\app\doc\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 2, 6
"d:\Codes\unex-ai\ai-chat-to-code\app\faq\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 2, 6
"d:\Codes\unex-ai\ai-chat-to-code\app\founders\Founders.scss", "SCSS", 0, 0, 9, 0, 0, 2, 11
"d:\Codes\unex-ai\ai-chat-to-code\app\founders\page.tsx", "TypeScript JSX", 250, 0, 0, 0, 2, 14, 266
"d:\Codes\unex-ai\ai-chat-to-code\app\hooks\useTheme.ts", "TypeScript", 0, 18, 0, 0, 0, 5, 23
"d:\Codes\unex-ai\ai-chat-to-code\app\layout.tsx", "TypeScript JSX", 28, 0, 0, 0, 1, 6, 35
"d:\Codes\unex-ai\ai-chat-to-code\app\market-place\page.tsx", "TypeScript JSX", 208, 0, 0, 0, 2, 15, 225
"d:\Codes\unex-ai\ai-chat-to-code\app\pages\Doc.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 3, 12
"d:\Codes\unex-ai\ai-chat-to-code\app\pages\Faq.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 3, 12
"d:\Codes\unex-ai\ai-chat-to-code\app\pages\Founders.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 3, 12
"d:\Codes\unex-ai\ai-chat-to-code\app\pages\Library.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 3, 12
"d:\Codes\unex-ai\ai-chat-to-code\app\pages\Main.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 3, 12
"d:\Codes\unex-ai\ai-chat-to-code\app\services\api.ts", "TypeScript", 0, 12, 0, 0, 1, 3, 16
"d:\Codes\unex-ai\ai-chat-to-code\app\services\db\componentsService.ts", "TypeScript", 0, 100, 0, 0, 0, 20, 120
"d:\Codes\unex-ai\ai-chat-to-code\app\services\db\index.ts", "TypeScript", 0, 48, 0, 0, 6, 10, 64
"d:\Codes\unex-ai\ai-chat-to-code\app\services\db\messagesService.ts", "TypeScript", 0, 22, 0, 0, 0, 6, 28
